#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
11,Bobby Witt Jr.,KC,R,SS,SS,151,646,589,95.1,29.4,88.8,40.3,164.3,99.2,28.6,7.1,295.4,111.6,40.6,5.8,4.6,4.0,13.5,0.279,0.327,0.501,0.828,0.298,677951
12,Gunnar Henderson,BAL,L,SS/3B,SS/3B,152,646,566,90.7,27.8,89.1,10.7,148.1,82.8,31.7,5.8,274.7,154.3,65.4,5.2,4.8,2.0,4.3,0.261,0.339,0.485,0.824,0.309,683002
13,Austin Riley,ATL,R,3B,3B,151,645,574,96.1,34.7,110.1,2.4,158.5,91.8,29.9,2.1,296.7,155.4,56.0,10.3,4.9,0.9,1.1,0.276,0.348,0.517,0.865,0.319,663586
14,Rafael Devers,BOS,L,3B,3B,150,644,568,100.0,34.7,98.8,4.7,162.5,92.6,34.2,1.0,302.8,123.6,60.2,7.7,4.6,3.5,2.2,0.286,0.358,0.533,0.891,0.309,646240
15,Ronald Acuna Jr.,ATL,R,OF,OF,142,643,550,122.9,35.3,97.3,46.4,175.6,106.4,31.3,2.6,317.9,99.1,74.3,9.7,4.0,6.1,12.0,0.320,0.404,0.578,0.982,0.335,660670
16,Kyle Tucker,HOU,L,OF,OF,151,643,563,96.6,32.9,106.0,25.7,161.2,97.4,27.4,3.5,294.3,96.4,71.1,3.2,4.9,1.2,6.5,0.286,0.366,0.523,0.889,0.292,663656
17,Brandon Nimmo,NYM,L,OF,OF,147,642,550,97.1,18.8,67.2,5.7,147.9,92.7,31.7,4.8,245.6,130.5,73.6,11.1,4.0,6.1,2.1,0.269,0.362,0.446,0.808,0.319,12927
18,Jose Ramirez,CLE,S,3B,3B,150,642,560,93.9,27.2,87.8,22.9,158.6,88.5,39.1,3.8,286.7,79.3,70.8,5.4,4.9,1.1,6.4,0.283,0.366,0.511,0.877,0.286,13510
19,Corbin Carroll,ARI,L,OF,OF,147,642,561,95.4,23.9,77.0,39.0,152.9,96.0,25.1,7.9,265.5,130.9,61.1,11.1,4.3,4.8,10.6,0.272,0.350,0.473,0.823,0.314,682998
20,CJ Abrams,WSH,L,SS,SS,152,641,585,81.4,17.4,66.2,36.5,152.2,96.7,33.4,4.8,247.4,115.0,33.0,11.7,4.3,5.7,10.3,0.260,0.307,0.423,0.730,0.295,682928
21,Christian Yelich,MIL,L,OF,OF,150,640,546,84.4,19.5,72.0,20.6,143.9,93.7,28.8,2.0,235.2,146.4,83.5,5.1,4.6,2.8,5.2,0.264,0.364,0.430,0.794,0.323,11477
22,Matt Olson,ATL,L,1B,1B,150,640,543,104.6,39.7,110.5,1.2,146.3,76.8,28.2,1.6,296.9,144.4,85.9,5.8,4.4,1.5,0.5,0.269,0.372,0.546,0.918,0.293,14344
23,Vladimir Guerrero Jr.,TOR,R,1B,1B,151,640,559,93.6,30.4,95.0,6.3,157.2,91.9,34.4,0.6,283.9,95.3,67.3,6.9,4.8,1.1,2.7,0.281,0.362,0.508,0.870,0.289,665489
24,Bryan Reynolds,PIT,S,OF,OF,148,638,562,88.2,23.7,77.3,8.7,151.2,93.6,29.9,4.0,260.0,137.8,59.9,9.0,4.6,4.1,3.4,0.269,0.345,0.462,0.807,0.314,668804
25,Alex Bregman,HOU,R,3B,3B,150,635,541,88.1,23.1,88.7,2.7,144.1,88.2,30.4,2.3,248.4,80.8,79.9,8.4,4.4,1.5,1.1,0.266,0.366,0.459,0.825,0.274,17678
26,Shohei Ohtani,LAD,L,DH,DH,145,634,532,104.7,36.8,99.4,18.6,145.2,74.2,29.0,5.2,295.0,155.7,86.7,5.1,4.6,3.5,6.6,0.272,0.374,0.554,0.928,0.315,6602710
27,Randy Arozarena,TB,R,OF,OF,151,634,553,83.2,22.8,80.9,23.4,142.8,87.7,29.4,2.9,246.2,159.3,63.9,11.9,4.7,1.1,9.3,0.258,0.345,0.445,0.790,0.319,668227
28,Ian Happ,CHC,S,OF,OF,151,633,542,80.6,20.3,73.6,11.1,135.5,85.7,26.9,2.6,228.5,150.3,76.6,6.4,4.3,3.6,4.0,0.250,0.345,0.422,0.767,0.307,664023
29,Francisco Lindor,NYM,S,SS,SS,150,632,558,84.8,25.3,82.7,19.9,142.5,85.7,29.2,2.3,252.1,123.2,60.0,8.9,4.6,3.0,6.3,0.255,0.334,0.451,0.786,0.283,12916
30,Ha-Seong Kim,SD,R,2B/SS/ 3B,2B/SS/ 3B,151,632,555,78.0,16.1,63.1,25.2,136.7,91.6,27.7,1.3,215.3,121.4,64.0,5.6,4.8,3.1,7.5,0.246,0.326,0.388,0.714,0.285,673490
31,Bo Bichette,TOR,R,SS,SS,148,630,581,85.8,23.5,87.2,11.1,169.3,105.6,38.1,2.2,282.2,121.8,35.8,4.0,4.5,3.8,3.8,0.292,0.332,0.486,0.818,0.331,666182
32,Corey Seager,TEX,L,SS,SS,145,629,554,101.6,31.9,94.0,3.2,163.8,90.4,40.6,1.0,302.1,101.3,61.4,6.3,4.5,3.9,1.3,0.296,0.368,0.546,0.914,0.310,13624
33,J.P. Crawford,SEA,L,SS,SS,150,628,535,84.8,12.8,59.3,3.9,137.9,86.8,37.4,0.9,215.7,108.7,76.4,6.9,4.1,5.4,1.5,0.258,0.352,0.403,0.755,0.299,15491
34,Xander Bogaerts,SD,R,SS,SS,150,627,556,78.4,18.4,76.7,11.3,153.7,103.1,30.8,1.5,242.6,114.6,56.5,6.7,4.2,3.9,3.4,0.276,0.346,0.436,0.782,0.317,12161
